price,house_type,house_type_2,rooms,m2,elevator,garage,neighbourhood,district
170000,Piso,exterior,2,48.0,1,0,Quintana,Ciudad Lineal
170000,Piso,exterior,3,59.0,1,0,Pavones,Moratalaz
170000,Piso,exterior,2,51.0,1,0,Ventas,Ciudad Lineal
170000,Piso,exterior,3,63.0,1,0,Barrio del Pilar,Fuencarral-El Pardo
170000,Piso,exterior,2,76.0,1,0,San Diego,Puente de Vallecas
170000,Piso,interior,2,44.0,0,0,Corralejos,Barajas
170000,Piso,exterior,2,60.0,1,0,Fontarrón,Moratalaz
170000,Piso,exterior,3,65.0,1,0,San Isidro,Carabanchel
189000,Piso,interior,3,86.0,1,1,Buenavista,Carabanchel
879000,Piso,exterior,2,87.0,1,0,Castellana,Salamanca
